Location Number,Location Name,Location Type,Address,City,State,Zip Code,Phone Number,County,Latitude,Longitude,Accuracy
AR0014-008,Mcgehee Branch Library,Branch Library,211 North 4Th Street,Mcgehee,AR,71654,(870) 222-4097,Desha,33.6280911,-91.3992749,
AR0007-011,Melbourne Public Library,Branch Library,915 East Main Street,Melbourne,AR,72556,(870) 368-7467,Izard,36.0586735,-91.8904094,
AR0062-002,Polk County Library,Branch Library,410 8Th Street,Mena,AR,71953,(479) 394-2314,Polk,34.584957,-94.2411975,
AR0004-007,Mineral Springs Public Library,Branch Library,310 East Runnels,Mineral Springs,AR,71851,(870) 287-7162,Howard,33.875436,-93.914406,
AR0009-005,Kohn Memorial Library,Branch Library,103 S. Edmund Street,Monette,AR,72447,(870) 486-2515,Craighead,35.8906286,-90.3442678,
AR0014-016,Monticello Branch Library,Central Library,107 East Jackson,Monticello,AR,71655,(870) 367-8583,Drew,33.6258925,-91.7912509,
AR0014,Southeast Arkansas Regional Library,Library System,107 East Jackson,Monticello,AR,71655,(870) 367-8584,Drew,33.6258925,-91.7912509,
AR0030-002,Conway County Library,Central Library,101 West Church Street,Morrilton,AR,72110,(501) 654-5204,Conway,35.151164,-92.745475,
AR0030,Conway County Library,Library System,101 West Church Street,Morrilton,AR,72110,(501) 354-5204,Conway,35.151164,-92.745475,
AR0062-001,Ouachita Mountains Regional Library,Central Library,145 A. Whittington,Mount Ida,AR,71957,(870) 867-3812,Montgomery,34.556046,-93.633397,
AR0062,Ouachita Mountains Regional Library,Library System,145A Whittington Street,Mount Ida,AR,71957,(870) 867-3812,Montgomery,34.556046,-93.633397,
AR0039-004,Baxter County Library,Central Library,300 Library Hill,Mountain Home,AR,72653,(870) 580-0987,Baxter,36.3149804,-92.3879016,
AR0039,Baxter County Library,Library System,300 Library Hill,Mountain Home,AR,72653,(870) 580-0987,Baxter,36.3149804,-92.3879016,
AR0007-015,Stone County Library,Branch Library,326 West Washington Street,Mountain View,AR,72560,(879) 269-3100,Stone,35.8694708,-92.1184209,STREET_ADDRESS: RANGE_INTERPOLATED
AR0048-003,Mountainburg Public Library,Branch Library,1300 Hwy 71 Ne,Mountainburg,AR,72946,(479) 369-1600,Crawford,35.6451541,-94.1624942,
AR0017-012,Mount Vernon Public Library,Branch Library,1370 Highway 36,Mt. Vernon,AR,72111,(501) 849-3080,Faulkner,35.2237545,-92.1260258,
AR0048-004,Mulberry Public Library,Branch Library,220 North Main,Mulberry,AR,72947,(479) 997-1226,Crawford,35.4975448,-94.051962,
AR0004-015,Pike County Library,Branch Library,210 2Nd Avenue,Murfreesboro,AR,71958,(870) 285-2575,Pike,34.0607536,-93.68871,STREET_ADDRESS: RANGE_INTERPOLATED
AR0004-005,Howard County Library,Branch Library,"426 North Main,Suite 500",Nashville,AR,71852,(870) 845-2566,Howard,33.9473064,-93.8470382,
AR0027-002,W.A. Billingsley/Jackson County Library,Central Library,213 Walnut Street,Newport,AR,72112,(870) 523-2952,Jackson,35.6047191,-91.2823282,
AR0027,W.A. Billingsley/Jackson County Library,Library System,213 Walnut Street,Newport,AR,72112,(870) 523-2952,Jackson,35.6047191,-91.2823282,
AR0020-005,Norphlet Public Library,Branch Library,101 East Padgett Street,Norphlet,AR,71759,(870) 546-2274,Union,33.3156547,-92.6620545,
AR0016-003,Argenta Branch Library,Branch Library,506 Main St.,North Little Rock,AR,72114,(501) 687-1061,Pulaski,34.7583754,-92.2673484,PREMISE: ROOFTOP
AR0016-002,William F. Laman Public Library,Central Library,2801 Orange Street,North Little Rock,AR,72114,(501) 758-1720,Pulaski,34.7803009,-92.2700361,
AR0016,William F. Laman Public Library,Library System,2801 Orange Street,North Little Rock,AR,72114,(501) 758-1720,Pulaski,34.7803009,-92.2700361,
AR0040-012,Osceola Public Library,Branch Library,320 West Hale Avenue,Osceola,AR,72370,(870) 563-2721,Mississippi,35.7028903,-89.9710426,
AR0012-008,Franklin County Library,Branch Library,407 West Market Street,Ozark,AR,72949,(479) 667-2724,Franklin,35.4885372,-93.8279789,
AR0019-006,Pangburn Public Library,Branch Library,914 Main Street,Pangburn,AR,72121,(501) 728-4612,White,35.4275268,-91.8339894,
AR0013-001,Greene County Library,Central Library,120 North 12Th Street,Paragould,AR,72450,(870) 236-8711,Greene,36.0573017,-90.500979,
AR0013,Northeast Arkansas Regional Library,Library System,120 North 12Th Street,Paragould,AR,72450,(870) 236-8711,Greene,36.0573017,-90.500979,
AR0012-010,Boyd T. & Mollie Gattis Logan County Library,Branch Library,100 East Academy,Paris,AR,72855,(479) 963-2371,Logan,35.2900321,-93.7299492,
AR0068-001,Pea Ridge Community Library,Central Library,161 East Pickens,Pea Ridge,AR,72751,(479) 451-8442,Benton,36.453624,-94.11492,
AR0068,Pea Ridge Community Library,Library System,161 East Pickens,Pea Ridge,AR,72751,(479) 451-8442,Benton,36.453624,-94.11492,
AR0001-007,Max Milam Library,Branch Library,609 Aplin Avenue,Perryville,AR,72126,(501) 889-2554,Perry,35.0054286,-92.8044719,
AR0013-006,Piggott Public Library,Branch Library,361 West Main Street,Piggott,AR,72454,(870) 598-3666,Clay,36.3833861,-90.1933257,STREET_ADDRESS: RANGE_INTERPOLATED
AR0008-002,Pine Bluff Jefferson County Library System,Central Library,200 East 8Th Avenue,Pine Bluff,AR,71601,(870) 534-4802,Jefferson,34.221366,-92.000756,
AR0008,Pine Bluff Jefferson County Library System,Library System,200 E. 8Th Avenue,Pine Bluff,AR,71601,(879) 534-4802,Jefferson,34.2218485,-91.9920992,
AR0008-004,Watson Chapel Branch Library,Branch Library,4120 Camden Road,Pine Bluff,AR,71603,(870) 879-3406,Jefferson,34.1871714,-92.0684093,
AR0013-004,Randolph County Library,Branch Library,111 West Everett St.,Pocahontas,AR,72455,(870) 892-5617,Randolph,36.2618171,-90.9703675,
AR0002-011,Prairie Grove Public Library,Branch Library,123 South Neal Street,Prairie Grove,AR,72753,(479) 846-3782,Washington,35.974932,-94.314899,
AR0004-014,Nevada County Library,Branch Library,121 West Main,Prescott,AR,71857,(870) 887-5846,Nevada,33.8026189,-93.3811542,
AR0013-007,Rector Public Library,Branch Library,121 West 4Th St.,Rector,AR,72461,(870) 595-2410,Clay,36.2636628,-90.2930185,STREET_ADDRESS: RANGE_INTERPOLATED
AR0008-006,Redfield Public Library,Branch Library,310 Brodie Street,Redfield,AR,72132,(501) 397-5070,Jefferson,34.44783,-92.184686,STREET_ADDRESS: ROOFTOP
AR0005-010,Roy And Christine Sturgis Library Of Cleveland County,Branch Library,203 West Magnolia,Rison,AR,71665,(870) 325-7270,Cleveland,33.957908,-92.192174,
AR0047-001,Rogers Public Library,Central Library,711 S. Dixieland Rd.,Rogers,AR,72758,(479) 621-1152,Benton,36.3281,-94.143224,
AR0047,Rogers Public Library,Library System,711 S. Dixieland Rd.,Rogers,AR,72758,(479) 621-1152,Benton,36.3281,-94.143224,
AR0019-010,Rose Bud Public Library,Branch Library,548 Highway 5 South,Rose Bud,AR,72137,(501) 556-4447,White,35.3203678,-92.0853962,
AR0021-006,Bookmobile,Bookmobile,116 East Third Street,Russellville,AR,72801,(M ) -,Pope,35.2760117,-93.1334716,
AR0021-002,Pope County Library System,Central Library,116 East Third Street,Russellville,AR,72801,(479) 968-4368,Pope,35.2760117,-93.1334716,
AR0021,Pope County Library System,Library System,116 East 3Rd Street,Russellville,AR,72801,(479) 968-4368,Pope,35.2760117,-93.1334716,
AR0007-005,Salem Public Library,Branch Library,207 Pickens Street,Salem,AR,72576,(870) 895-2014,Fulton,36.3711763,-91.8226479,
AR0019-007,White County Public/Searcy Public Library,Central Library,113 East Pleasure Avenue,Searcy,AR,72143,(501) 268-2449,White,35.2476925,-91.7371332,
AR0019,White County Regional Library System,Library System,113 East Pleasure Avenue,Searcy,AR,72143,(501) 279-2870,White,35.2476925,-91.7371332,
AR0005-005,Grant County Library,Branch Library,210 North Oak Street,Sheridan,AR,72150,(870) 942-4436,Grant,34.3079454,-92.40142,
AR0001-005,Amy Sanders Branch Library,Branch Library,31 Shelby Drive,Sherwood,AR,72120,(501) 835-7756,Pulaski,34.834055,-92.207381,STREET_ADDRESS: ROOFTOP
AR0079-001,Siloam Springs Public Library Hq,Central Library,401 West University Street,Siloam Springs,AR,72761,(479) 524-4236,Benton,36.186756,-94.545306,
AR0079,Siloam Springs Public Library Hq,Library System,401 West University Street,Siloam Springs,AR,72761,(479) 524-4236,Benton,36.186756,-94.545306,
AR0020-006,Smackover Public Library,Branch Library,700 North Broadway,Smackover,AR,71762,(870) 725-3741,Union,33.3703001,-92.7227374,
AR0005-013,Fohrell Public Library,Branch Library,186 Dallas 208,Sparkman,AR,71763,(870) 678-2561,Dallas,33.9442248,-92.8374581,
AR0002-014,Springdale Public Library,Branch Library,405 South Pleasant Street,Springdale,AR,72764,(479) 750-8180,Washington,36.1810068,-94.1426811,
AR0049-006,St. Paul Public Library,Branch Library,145 Fifth Street,St. Paul,AR,72760,(479) 677-2907,Madison,35.8241188,-93.7668994,
AR0061-003,Cabe Memorial Public Library,Branch Library,312 Main Street,Stamps,AR,71860,(870) 533-4424,Lafayette,33.361551,-93.4979213,
AR0014-013,Star City Public Library,Branch Library,200 E. Wiley,Star City,AR,71667,(870) 628-4711,Lincoln,33.9403063,-91.8414045,
AR0063-003,Stephens Public Library,Branch Library,108 W. Ruby,Stephens,AR,71764,(870) 786-5231,Ouachita,33.4137311,-93.0735899,ROUTE: GEOMETRIC_CENTER
AR0020-008,Strong Public Library,Branch Library,246 W. 2Nd St.,Strong,AR,71765,(870) 797-2165,Union,33.1095483,-92.3583402,
AR0042-002,Arkansas County Library,Central Library,2002 S. Buerkle Street,Stuttgart,AR,72160,(870) 673-1966,Arkansas,34.482662,-91.558945,
AR0042,Arkansas County Library,Library System,2002 S. Buerkle Street,Stuttgart,AR,72160,(870) 673-1966,Arkansas,34.482662,-91.558945,
AR0041-009,Ward Public Library,Branch Library,405 Hickory,"Suite 100, Ward",AR,72176,(501) 941-3220,Lonoke,35.0301347,-91.9550076,
AR0007-007,Greers Ferry Public Library,Branch Library,8249 Edgemont Road,"Suite 9, Greers Ferry",AR,72067,(501) 825-8677,Cleburne,35.5667275,-92.1812035,
AR0080-001,Sulphur Springs Public Library Hq,Central Library,512 Black St.,Sulphur Springs,AR,72768,(479) 298-3753,Benton,36.4779231,-94.4610783,
AR0080,Sulphur Springs Public Library Hq,Library System,512 Black Street,Sulphur Springs,AR,72768,(479) 298-3753,Benton,36.4779231,-94.4610783,
AR0010-004,Taylor Public Library,Branch Library,101 West Pope,Taylor,AR,71861,(870) 694-2051,Columbia,33.1012529,-93.4629505,
AR0028-002,Texarkana Public Library,Central Library,600 West Third St.,Texarkana,AR,75501,(903) 794-2149,Bowie,33.4204534,-94.0479591,
AR0028,Texarkana Public Library,Library System,600 West Third St.,Texarkana,AR,75501,(903) 794-2149,Bowie,33.4204534,-94.0479591,
AR0064-002,Thornton Public Library,Branch Library,South 2Nd St.,Thorton,AR,71670,(870) 352-5990,Calhoun,33.7744737,-92.4942672,ROUTE: GEOMETRIC_CENTER
AR0004-010,Tollette Branch Library,Branch Library,205 Town Hall Dr.,Tollette,AR,71851,(870) 287-7166,Howard,33.8150654,-93.899815,
AR0043-002,Trumann Public Library,Central Library,1200 West Main,Trumann,AR,72472,(870) 483-7744,Poinsett,35.6713444,-90.5237881,
AR0043,Trumann Public Library,Library System,1200 West Main,Trumann,AR,72472,(870) 483-7744,Poinsett,35.6713444,-90.5237881,
AR0017-009,Twin Groves Branch Library,Branch Library,10 Twin Groves,Twin Groves,AR,72039,(501) 335-8088,Faulkner,35.320538,-92.433761,
AR0048,Crawford County Library System,Library System,1409 Main St.,Van Buren,AR,72956,(479) 471-3226,Crawford,35.4366442,-94.3444301,
AR0048-005,Van Buren Public Library,Central Library,1409 Main St.,Van Buren,AR,72956,(479) 474-6045,Crawford,35.4366442,-94.3444301,
AR0017-006,Vilonia Branch Library,Branch Library,3 Bise Drive,Vilonia,AR,72173,(501) 796-8520,Faulkner,35.0848126,-92.200616,
AR0007-006,Viola Public Library,Branch Library,E. Side Of Main Street / City Hall,Viola,AR,72583,(870) 458-3070,Fulton,36.3967316,-91.9826515,
AR0023-007,Scott County Library,Branch Library,141 W. Second Street,Waldron,AR,72958,(479) 637-3516,Scott,34.8994363,-94.0932582,
AR0031-002,Lawrence County Library,Central Library,115 West Walnut St.,Walnut Ridge,AR,72476,(870) 886-3222,Lawrence,36.0690999,-90.9555807,
AR0031,Lawrence County Library,Library System,115 West Walnut Street,Walnut Ridge,AR,72476,(870) 886-3222,Lawrence,36.0690999,-90.9555807,
AR0014-014,Warren Branch Library,Branch Library,115 West Cypress,Warren,AR,71671,(870) 226-2536,Bradley,33.6138976,-92.0644066,
AR0009-009,West Poinsett County Library,Branch Library,203 West 2Nd Street,Weiner,AR,72479,(870) 684-2235,Poinsett,35.6200641,-90.900959,
AR0002-013,West Fork Public Library,Branch Library,198 Main,West Fork,AR,72774,(479) 839-2626,Washington,35.9267521,-94.1854987,
AR0015-009,West Helena Public Library,Branch Library,721 Plaza Street,West Helena,AR,72390,(870) 572-2861,Phillips,34.5438924,-90.6375451,
AR0025-001,West Memphis Public Library,Central Library,213 North Avalon Street,West Memphis,AR,72301,(870) 732-7590,Crittenden,35.1481239,-90.1935873,
AR0025,West Memphis Public Library,Library System,213 North Avalon Street,West Memphis,AR,72301,(870) 732-7590,Crittenden,35.1481239,-90.1935873,
AR0008-003,White Hall Public Library,Branch Library,300 Anderson Street,White Hall,AR,71602,(870) 247-5064,Jefferson,34.27607,-92.0946869,
AR0007-014,Williford Public Library,Branch Library,1606 Hwy 63,Williford,AR,72482,(870) 966-4227,Sharp,36.280108,-91.3822239,
AR0014-023,Wilmar Branch Library,Branch Library,North 5Th Street,Wilmar,AR,71675,(870) 469-8303,Drew,33.6289971,-91.9315237,
AR0040-013,Wilson Public Library,Branch Library,1 Park Street,Wilson,AR,72395,(870) 655-8414,Mississippi,35.5694845,-90.0428666,
AR0002-012,Winslow Public Library,Branch Library,351 South Highway 71,Winslow,AR,72959,(479) 634-5405,Washington,35.8011661,-94.1293903,
AR0004-024,Winthrop Public Library,Branch Library,720 High Street,Winthrop,AR,71866,(870) 381-7580,Little River,33.832142,-94.351799,
AR0024-002,Cross County Library,Central Library,410 Merriman Ave E,Wynne,AR,72396,(870) 238-3850,Cross,35.224203,-90.788849,STREET_ADDRESS: ROOFTOP
AR0024,East Central Arkansas Regional Library,Library System,410 E. Merriman Ave. E,Wynne,AR,72396,(870) 238-3850,Cross,35.224203,-90.788849,
AR0003,Marion County Library,Library System,308 Old Main,Yellville,AR,72687,(870) 449-6015,Marion,36.2252743,-92.6813358,STREET_ADDRESS: RANGE_INTERPOLATED
AR0003-013,Marion County Library,Central Library,308 Old Main,Yellville,AR,72687,(870) 449-6015,Marion,36.2254801,-92.6878012,
AZ0082-008,Roll Branch Library,Branch Library,Mohawk Valley School,"5151 South Av, Roll",AZ,85347,(928) 785-3701,Yuma,32.7308283,-114.11309,
AZ0009-006,Alice Woods Sunizona Library,Branch Library,Ash Creek School,"6460 East Highway, Pearce",AZ,85625,(520) 824-3340,Cochise,31.8717268,-109.5449078,
AZ0028-002,Aguila Branch Library,Branch Library,51300 West U.S. 60,Aguila,AZ,85320,(602) 652-3000,Maricopa,33.9428965,-113.1751008,
AZ0064-002,Salazar-Ajo Branch Library,Branch Library,33 North Plaza Street,Ajo,AZ,85321,(520) 387-6075,Pima,32.3731475,-112.8614219,
AZ0001-002,Alpine Public Library,Branch Library,17 Cr 2061,Alpine,AZ,85920,(928) 339-4925,Apache,33.8483212,-109.1432936,
AZ0028-019,North Valley Regional Library,Branch Library,40410 North Gavilan Peak Parkway,Anthem,AZ,85086,(602) 652-3000,Maricopa,33.8478973,-112.1379618,
AZ0117-002,Apache Junction Public Library,Central Library,1177 North Idaho Road,Apache Junction,AZ,85119,(480) 474-8555,Pinal,33.4253008,-111.5459169,
AZ0117,Apache Junction Public Library,Library System,1177 North Idaho Road,Apache Junction,AZ,85119,(480) 474-8570,Pinal,33.4253008,-111.5459169,
AZ0117-003,Fun Van,Bookmobile,1177 North Idaho Road,Apache Junction,AZ,85119,(480) 474-8559,Pinal,33.4253008,-111.5459169,
AZ0064-003,Caviglia-Arivaca Branch Library,Branch Library,17050 West Arivaca Road,Arivaca,AZ,85601,(520) 594-5235,Pima,31.5756657,-111.3288666,
AZ0050-016,Arizona City Community Library,Branch Library,13254 Sunland Gin Road,Arizona City,AZ,85123,(520) 466-5565,Pinal,32.7599832,-111.6715965,
AZ0067-001,Ash Fork Public Library,Branch Library,450 West Lewis Avenue,Ash Fork,AZ,86320,(928) 637-2442,Yavapai,35.2251719,-112.4856906,
AZ0029,Avondale Public Library,Library System,11350 North Civic Center Drive,Avondale,AZ,85323,(623) 333-2641,Maricopa,33.4449986,-112.3028413,
AZ0029-003,Civic Center Library,Central Library,11350 West Civic Center Drive,Avondale,AZ,85323,(623) 333-2602,Maricopa,33.4449986,-112.3028413,
AZ0029-002,Sam Garcia Western Avenue Library,Branch Library,495 East Western Avenue,Avondale,AZ,85323,(623) 333-2665,Maricopa,33.4351318,-112.344795,STREET_ADDRESS: ROOFTOP
AZ0067-002,Bagdad Public Library,Branch Library,700 Palo Verde Road #C,Bagdad,AZ,86321,(928) 633-2325,Yavapai,34.5801654,-113.1717482,
AZ0110-002,Benson Public Library,Central Library,300 South Huachuca Street,Benson,AZ,85602,(520) 586-9535,Cochise,31.9661315,-110.296573,STREET_ADDRESS: RANGE_INTERPOLATED
AZ0110,Benson Public Library,Library System,300 South Huachuca Street,Benson,AZ,85602,(520) 586-9535,Cochise,31.9661315,-110.296573,
AZ0009-015,Cochise County Bookmobile,Bookmobile,100 Clawson Street,Bisbee,AZ,85603,(520) 432-8930,Cochise,31.4108306,-109.8776765,
AZ0009,Cochise County Library District,Library System,100 Clawson Avenue,Bisbee,AZ,85603,(520) 432-8930,Cochise,31.4430256,-109.9169594,
AZ0009-017,Cochise County Library District Headquarters,Central Library,100 Clawson Avenue,Bisbee,AZ,85603,(520) 432-8930,Cochise,31.4430256,-109.9169594,
AZ0111-002,Copper Queen Library,Central Library,6 Main Street,Bisbee,AZ,85603,(520) 432-4232,Cochise,31.4416422,-109.9154233,STREET_ADDRESS: RANGE_INTERPOLATED
AZ0111,Copper Queen Library,Library System,6 Main Street,Bisbee,AZ,85603,(520) 432-4232,Cochise,31.4416422,-109.9154233,STREET_ADDRESS: RANGE_INTERPOLATED
AZ0067-003,Black Canyon City Community Library,Branch Library,34701 South Old Black Canyon Highwa,Black Canyon City,AZ,85324,(623) 374-5866,Yavapai,34.062941,-112.146961,STREET_ADDRESS: ROOFTOP
AZ0185-001,Blue Library,Branch Library,P.O. Box 44,Blue,AZ,85922,(520) 204-4453,Greenlee,33.4794346,-109.140438,
AZ0177-001,Bouse Public Library,Branch Library,44031 Plomosa Road,Bouse,AZ,85325,(928) 851-1023,La Paz,33.7820109,-114.0985729,
AZ0009-002,Jimmie Libhart Branch Library,Branch Library,201 North Central Avenue,Bowie,AZ,85605,(520) 847-2522,Cochise,32.327334,-109.487103,
AZ0030-002,Buckeye Public Library,Central Library,310 North 6Th Street,Buckeye,AZ,85326,(623) 349-6300,Maricopa,33.372706,-112.583197,
AZ0030,Buckeye Public Library,Library System,310 North 6Th Street,Buckeye,AZ,85326,(623) 349-6300,Maricopa,33.372706,-112.583197,
AZ0030-003,Buckeye Public Library Bookmobile,Bookmobile,310 North 6Th Street,Buckeye,AZ,85326,(623) 238-2497,Maricopa,33.372706,-112.583197,
AZ0042-002,Bullhead City Branch Library,Branch Library,1170 East Hancock Road,Bullhead City,AZ,86442,(928) 758-0714,Mohave,35.1073685,-114.6077304,STREET_ADDRESS: ROOFTOP
AZ0145-002,Camp Verde Community Library,Central Library,130 Black Bridge Road,Camp Verde,AZ,86322,(928) 567-3414,Yavapai,34.5711579,-111.854889,STREET_ADDRESS: ROOFTOP
AZ0145,Camp Verde Community Library,Library System,130 Black Bridge Road,Camp Verde,AZ,86322,(928) 567-3414,Yavapai,34.5711579,-111.854889,
AZ0118,Casa Grande Public Library,Library System,449 North Drylake Street,Casa Grande,AZ,85122,(520) 421-8710,Pinal,32.8769389,-111.7500699,STREET_ADDRESS: RANGE_INTERPOLATED
AZ0118-002,Casa Grande Public Library,Central Library,449 North Dry Lake,Casa Grande,AZ,85122,(520) 421-8710,Pinal,32.9368054,-111.7495419,
AZ0118-003,Casa Grande Public Library Bookmobile,Bookmobile,1556 North Arizola Road,Casa Grande,AZ,85122,(520) 421-8652,Pinal,32.8937763,-111.71278,
AZ0118-004,Vista Grande Library,Branch Library,1556 North Arizola Road,Casa Grande,AZ,85122,(520) 421-8652,Pinal,32.8937763,-111.71278,
AZ0086-002,Desert Foothills Library,Central Library,38443 North Schoolhouse Road,Cave Creek,AZ,85331,(480) 488-2286,Maricopa,33.8349494,-111.9427964,
AZ0086,Desert Foothills Library,Library System,38443 North Schoolhouse Road,Cave Creek,AZ,85331,(480) 488-2286,Maricopa,33.8349494,-111.9427964,
AZ0031-002,Chandler Public Library,Central Library,22 South Delaware,Chandler,AZ,85225,(480) 782-2800,Maricopa,33.3033887,-111.8380392,
AZ0031,Chandler Public Library,Library System,22 South Delaware Street,Chandler,AZ,85225,(480) 782-2817,Maricopa,33.3033887,-111.8380392,
AZ0031-005,Sunset Library,Branch Library,4930 West Ray Road,Chandler,AZ,85226,(480) 782-2800,Maricopa,33.321412,-111.925121,
AZ0031-004,Hamilton Library,Branch Library,3700 South Arizona Avenue,Chandler,AZ,85248,(480) 782-2800,Maricopa,33.2520276,-111.8430871,
AZ0031-006,Basha Library,Branch Library,5990 South Val Vista Drive,Chandler,AZ,85249,(480) 782-2800,Maricopa,33.2206111,-111.757142,
AZ0146-002,Chino Valley Public Library,Central Library,1020 West Palomino Road,Chino Valley,AZ,86323,(928) 636-2687,Yavapai,34.7737944,-112.4656712,
AZ0146,Chino Valley Public Library,Library System,1020 West Palomino Road,Chino Valley,AZ,86323,(928) 636-2687,Yavapai,34.7737944,-112.4656712,
AZ0042-011,Chloride Community Library,Branch Library,4901 Pay Roll,Chloride,AZ,86431,(928) 565-2200,Mohave,35.4126291,-114.199267,
AZ0048-005,Cibecue Community Library,Branch Library,6 West 3Rd Street,Cibecue,AZ,85911,(928) 332-2621,Navajo,34.0447693,-110.4853908,
AZ0147-002,Clark Memorial Library,Central Library,39 North 9Th Street,Clarkdale,AZ,86324,(928) 639-2480,Yavapai,34.7719261,-112.0575301,
AZ0147,Clark Memorial Library,Library System,39 North 9Th Street,Clarkdale,AZ,86324,(928) 639-2480,Yavapai,34.7719261,-112.0575301,
AZ0107-006,Clay Springs Public Library,Branch Library,2106 Granite Road,Clay Springs,AZ,85923,(928) 739-4848,Navajo,34.3636645,-110.2991511,
AZ0025-005,Clifton Public Library,Central Library,588 Turner Avenue,Clifton,AZ,85533,(928) 865-2461,Greenlee,33.0449537,-109.2907247,
AZ0025,Clifton Public Library,Library System,588 Turner Avenue,Clifton,AZ,85533,(928) 865-2461,Greenlee,33.0449537,-109.2907247,
AZ0001-003,Concho Public Library,Branch Library,18 Cr 5101,Concho,AZ,85924,(928) 337-2167,Apache,34.4232355,-109.6403355,
AZ0067-004,Congress Public Library,Branch Library,26750 Santa Fe Road,Congress,AZ,85332,(928) 427-3945,Yavapai,34.161324,-112.847308,
AZ0133,Coolidge Public Library,Library System,160 West Central Avenue,Coolidge,AZ,85128,(520) 723-6030,Pinal,32.9779746,-111.5173083,
AZ0133-002,Coolidge Public Library,Central Library,160 West Central Avenue,Coolidge,AZ,85228,(520) 723-6030,Pinal,32.9779746,-111.5173083,
AZ0150-002,Cottonwood Public Library,Central Library,100 South 6Th Street,Cottonwood,AZ,86326,(928) 634-7559,Yavapai,34.7375876,-112.0227657,
AZ0150,Cottonwood Public Library,Library System,100 South 6Th Street,Cottonwood,AZ,86326,(928) 634-7559,Yavapai,34.7375876,-112.0227657,
AZ0067-006,Crown King Public Library,Branch Library,23550 S. Towers Mountain Rd,Crown King,AZ,86343,(928) 632-5986,Yavapai,34.205556,-112.338611,
AZ0082-009,Dateland Branch Library,Branch Library,Avenue 64E And Interstate 8,Dateland,AZ,85333,(928) 454-2242,Yuma,32.8019875,-113.5383598,
AZ0042-005,Dolan Springs Library,Branch Library,16140 Pierce Ferry Road,Dolan Springs,AZ,86441,(928) 767-4292,Mohave,35.5928947,-114.2703001,
AZ0112-002,Douglas Public Library,Central Library,560 East 10Th Street,Douglas,AZ,85607,(520) 417-7357,Cochise,31.3447158,-109.55325,
AZ0112,Douglas Public Library,Library System,560 East 10Th Street,Douglas,AZ,85607,(520) 417-7355,Cochise,31.3447158,-109.55325,
AZ0084-002,Duncan Public Library,Central Library,122 North Highway 75,Duncan,AZ,85534,(928) 359-2094,Greenlee,32.7187931,-109.1028381,
AZ0084,Duncan Public Library,Library System,122 North Highway 75,Duncan,AZ,85534,(928) 359-2094,Greenlee,32.7187931,-109.1028381,
AZ0185,Greenlee County Library System,Library System,122 North Highway 75,Duncan,AZ,85534,(575) 590-0457,Greenlee,32.7187931,-109.1028381,
AZ0001-010,Round Valley Public Library,Branch Library,179 South Main Street,Eagar,AZ,85925,(928) 333-4694,Apache,34.1077198,-109.2915859,
AZ0028-004,El Mirage Branch Library,Branch Library,14011 North 1St Avenue,El Mirage,AZ,85335,(602) 652-3000,Maricopa,33.611081,-112.3257163,
AZ0009-016,Elfrida Library,Branch Library,10552 North Highway 191,Elfrida,AZ,85610,(520) 642-1744,Cochise,31.6961547,-109.6872838,
AZ0134-002,Eloy Public Library,Central Library,1000 North Main Street,Eloy,AZ,85131,(520) 466-3814,Pinal,32.7594249,-111.554877,
AZ0134,Eloy Santa Cruz Library,Library System,1000 North Main Street,Eloy,AZ,85131,(520) 466-3814,Pinal,32.7594249,-111.554877,
AZ0169-008,Coconino County Bookmobile,Bookmobile,300 West Aspen Avenue,Flagstaff,AZ,86001,(928) 779-7670,Coconino,35.200125,-111.65223,
AZ0169-007,Flagstaff City/Coconino County Public Library,Central Library,300 West Aspen Ave,Flagstaff,AZ,86001,(928) 779-7673,Coconino,35.200125,-111.65223,
AZ0169,Flagstaff City-Coconino County Public Library,Library System,300 West Aspen Avenue,Flagstaff,AZ,86001,(928) 213-2350,Coconino,35.200125,-111.65223,
AZ0135-002,Florence Community Library,Central Library,1000 South Willow Street,Florence,AZ,85132,(520) 868-8311,Pinal,33.0240405,-111.3895973,
AZ0135,Florence Community Library,Library System,1000 South Willow Street,Florence,AZ,85132,(520) 868-8311,Pinal,33.0240405,-111.3895973,
AZ0050-002,Pinal County Library District,Central Library,92 West Butte Avenue,Florence,AZ,85132,(520) 866-6457,Pinal,33.0317114,-111.388246,
AZ0050,Pinal County Library District,Library System,92 West Butte Avenue,Florence,AZ,85132,(520) 866-6457,Pinal,33.0317114,-111.388246,
AZ0169-004,Forest Lakes Community Library,Branch Library,417 Old Rim Road,Forest Lakes,AZ,85931,(928) 535-9125,Coconino,34.3362031,-110.8053873,
AZ0175,Ft. Mcdowell Yavapai Nation Tribal Library,Library System,16708 North Fort Mcdowell Road,Fort Mcdowell,AZ,85264,(480) 789-7850,Maricopa,33.6221856,-111.6818055,
AZ0028-005,Fountain Hills Branch Library,Branch Library,12901 North La Montana Drive,Fountain Hills,AZ,85268,(602) 652-3000,Maricopa,33.6031224,-111.7217731,
AZ0165-002,Fredonia Public Library,Central Library,130 North Main Street,Fredonia,AZ,86022,(928) 643-7137,Coconino,36.9026846,-112.7544181,STREET_ADDRESS: RANGE_INTERPOLATED
